Epoch,Train Loss,Train Acc,Eval Loss,Eval Acc
1,2.0521049669810703,24.158,1.9607956796884536,27.49
2,1.6225100810430488,39.946,1.4456524401903152,46.43
3,1.3554051956351922,50.898,1.3413522332906722,52.06
4,1.1647750799145018,58.476,0.9310491696000099,67.89
5,1.0688310314197929,62.048,0.9609343409538269,66.83
6,0.9777547732299688,65.72,1.6907325878739357,52.72
7,0.9373371433846804,67.434,1.4121446520090104,56.96
8,0.8999393226540818,68.738,0.9025592893362046,68.59
9,0.8635966872074166,70.24,2.0093362987041474,49.34
10,0.8465586988901606,70.648,1.5504637271165849,54.4
11,0.8313398330795522,71.254,0.7795049756765365,73.41
12,0.8158181993937006,71.934,0.9987314492464066,67.22
13,0.8045277343112596,72.252,0.8120831355452538,72.55
14,0.7942229074483015,72.608,1.230085375905037,61.09
15,0.7819250061803934,73.066,0.9658660024404526,68.61
16,0.7690578927190936,73.538,0.7664715945720673,73.69
17,0.7736139647206481,73.406,0.7676330417394638,73.78
18,0.7663327440315363,73.448,0.8845279410481452,72.03
19,0.7570467676435199,73.988,0.9876879192888737,66.82
20,0.7519351578488642,73.956,1.0700483739376068,65.61
21,0.7496820615262402,74.318,0.8157103449106217,72.99
22,0.7360468640619394,74.51,0.9202876418828965,68.98
23,0.7367622654656975,74.5,0.7677096366882324,73.06
24,0.7364571301304564,74.744,0.7825250007212162,72.66
25,0.7417026101326456,74.65,1.1292868807911873,63.27
26,0.7409846782684326,74.41,0.8042624220252037,72.61
27,0.7230290685381208,75.408,0.9750987455248833,68.32
28,0.7219153858569204,75.466,0.7107927367091179,75.49
29,0.7249271693278332,74.996,0.745665417611599,74.76
30,0.7190124368181035,75.344,1.3159010529518127,58.97
31,0.7233214284084282,75.184,0.8727655917406082,71.91
32,0.7175088068660425,75.418,1.6184907227754592,52.89
33,0.7174412589900347,75.396,0.8793589934706688,71.26
34,0.724463161157102,75.138,0.9600005492568016,68.67
35,0.7157176000123121,75.412,0.9122652754187583,70.44
36,0.7134047223597156,75.562,0.8719506233930587,72.68
37,0.7122803853482617,75.596,0.9144838467240334,70.92
38,0.7122241517110747,75.536,0.7129275031387806,75.87
39,0.7198524621068215,75.374,0.748241975903511,74.86
40,0.70724960735866,75.816,0.8440331891179085,70.89
41,0.7099307407529987,75.748,0.8783010259270668,69.64
42,0.7053734258729585,75.754,0.8126116111874581,72.39
43,0.7122807332447597,75.596,0.7656986311078071,73.8
44,0.699308846982158,75.86,0.9527321234345436,67.48
45,0.7049585872766923,75.992,0.7256422355771065,75.03
46,0.7042232043280894,75.874,0.9568907558918,68.72
47,0.7051093316808039,75.75,0.8741100341081619,71.36
48,0.6954291846070971,76.276,0.8196364492177963,72.81
49,0.7051219204250647,75.764,0.9019349396228791,69.56
50,0.704262084194592,75.966,0.6644460752606391,77.66
51,0.6986899150877582,76.138,0.9314724266529083,69.34
52,0.6958508798662497,76.166,0.6394713148474693,77.77
53,0.6999650594531274,76.17,0.8405391365289688,71.4
54,0.7079937111358253,75.604,0.7448361113667488,74.92
55,0.6971865320692257,76.01,0.9743919789791107,69.54
56,0.7014241109088976,75.786,0.9622529357671737,69.91
57,0.6950676775708491,76.114,1.0269287034869194,68.57
58,0.692470347698854,76.002,0.8372033640742302,72.07
59,0.6931222592081342,76.05,0.9358683779835701,68.22
60,0.701822851385389,76.014,0.9325212016701698,69.67
61,0.47394924169900465,83.842,0.35611634999513625,88.06
62,0.3920361013436804,86.576,0.31947545148432255,88.98
63,0.3660059880693348,87.52,0.30434680767357347,89.83
64,0.34603283379455,88.274,0.3017413403838873,89.82
65,0.33742604807627447,88.516,0.3081185594201088,89.42
66,0.32318758386738444,89.148,0.30155413411557674,89.63
67,0.31808111155215574,89.346,0.3256319910287857,89.21
68,0.30660634442251555,89.624,0.27663200367242097,90.34
69,0.3036656216243092,89.692,0.27577931955456736,90.51
70,0.2974552087181685,89.844,0.29767510779201983,89.64
71,0.2972562290271934,89.946,0.32313277274370195,88.67
72,0.29429539163806,89.986,0.29073408208787443,90.32
73,0.288645370730332,90.168,0.2927152797579765,90.18
74,0.2891691682138005,90.23,0.3470853928476572,88.35
75,0.2924897357517359,90.1,0.3160420797765255,89.33
76,0.29249165199544963,90.056,0.30122304558753965,90.03
77,0.2888568071838544,90.16,0.306466706097126,89.73
78,0.28158322752130277,90.45,0.33665006160736083,88.51
79,0.2833315054981076,90.488,0.3435422480106354,88.7
80,0.27952883111274973,90.486,0.29585422575473785,89.97
81,0.20772054460735953,93.138,0.21573462188243867,92.78
82,0.17516680134042184,94.234,0.21071395128965378,92.98
83,0.16297718901567312,94.622,0.20743438452482224,93.16
84,0.1535212200667177,95.096,0.204468459635973,93.17
85,0.14707825811845915,95.192,0.2029658380895853,93.2
86,0.1427461005443213,95.378,0.20518358871340753,93.24
87,0.1377474742048249,95.552,0.2004471283406019,93.45
88,0.13297123359326196,95.67,0.20883001573383808,93.24
89,0.13269730288611384,95.704,0.20183713361620903,93.36
90,0.12830169943674485,95.914,0.20143050700426102,93.46
91,0.11934813763946295,96.186,0.2009580783545971,93.49
92,0.11740259195164758,96.254,0.20060323365032673,93.61
93,0.11762155371965194,96.288,0.20174120776355267,93.43
94,0.11583767899749231,96.27,0.20060949437320233,93.55
95,0.11570775181967385,96.248,0.20143465213477613,93.54
96,0.1130834764287788,96.424,0.2020582165569067,93.46
97,0.11246021546195356,96.36,0.19973278380930423,93.47
98,0.11322868155429558,96.388,0.19998942501842976,93.57
99,0.1116335632241502,96.444,0.20185995958745478,93.42
100,0.11287761221126634,96.446,0.1996939316391945,93.52
