Epoch,Train Loss,Train Acc,Eval Loss,Eval Acc
1,2.352908180076249,18.246,1.9327620655298232,26.19
2,1.8000274264082616,33.024,1.5915688008069993,40.62
3,1.5539270931360674,42.91,1.521501937508583,44.25
4,1.3474324521969776,51.326,1.3454279899597168,54.42
5,1.1581222408888292,58.41,1.1623375549912454,58.58
6,1.0027278226857284,64.482,1.0845563620328904,62.26
7,0.8991186001471111,68.31,0.93751090914011,68.34
8,0.8175694823873286,71.53,0.8172878146171569,71.41
9,0.749984505225201,73.81,0.7125219777226448,75.69
10,0.7126218065315363,75.078,0.6677162751555443,77.03
11,0.6835558612127693,76.12,0.6397519804537296,77.24
12,0.6462294842515673,77.37,0.6369609668850899,78.06
13,0.6156802489137163,78.634,0.6416997313499451,78.34
14,0.5912791443418484,79.532,0.5978969134390354,79.68
15,0.5726158924552859,80.178,0.6597891703248024,77.97
16,0.5572246279643507,80.688,0.5531231082975865,81.0
17,0.5307265979294874,81.434,0.5315392106771469,81.72
18,0.5188945861799377,82.138,0.6172733269631863,79.19
19,0.5105637652533395,82.286,0.5644137717783451,80.56
20,0.5044521253023829,82.546,0.6510845825076104,78.87
21,0.489868875821026,82.914,0.5176679387688636,82.13
22,0.4784490768702663,83.412,0.6217951968312263,79.75
23,0.4778305479154295,83.334,0.5443540334701538,81.65
24,0.46351075795840246,83.96,0.6620753563940525,78.64
25,0.46000201513572614,84.136,0.5893958859145642,80.78
26,0.45393868839862395,84.106,0.564582210034132,80.76
27,0.4435532795531409,84.692,0.5532126180827618,81.67
28,0.44544813447460835,84.666,0.5048204332590103,83.19
29,0.4271546039654284,85.308,0.5309089407324791,82.76
30,0.4290672662306805,85.15,0.4769481435418129,83.16
31,0.4255733900532431,85.096,0.5045458525419235,82.8
32,0.4213780287881287,85.46,0.5687983922660351,80.99
33,0.4182674728181897,85.438,0.5575936734676361,81.76
34,0.4072341728879481,85.888,0.43941307440400124,85.29
35,0.40624084034744573,86.07,0.44072737395763395,85.26
36,0.40208132291326715,86.11,0.4313231907784939,85.25
37,0.39563592492925875,86.43,0.45691931918263434,84.82
38,0.3911988352026258,86.546,0.5382567308843136,81.57
39,0.3928327434221093,86.366,0.5350289225578309,82.28
40,0.38764304606890193,86.64,0.5465706050395965,82.41
41,0.3871891626289913,86.538,0.45691440254449844,84.59
42,0.3879221592630659,86.664,0.5083550095558167,83.61
43,0.3804717396138882,86.762,0.44862296134233476,85.06
44,0.3747480742025132,87.012,0.4786102667450905,84.28
45,0.37781872607919637,86.974,0.44991484135389326,85.12
46,0.3782214865240516,86.886,0.46159509345889094,84.95
47,0.3724804952436564,87.186,0.44103768840432167,85.31
48,0.3719903917184898,87.128,0.454684191942215,85.06
49,0.3674795527999498,87.286,0.40999251157045363,86.45
50,0.36196341494820555,87.554,0.40767498277127745,86.28
51,0.3653184541177993,87.402,0.39603790938854216,86.74
52,0.36985242655690836,87.248,0.5001400630921126,83.47
53,0.3586278036236763,87.698,0.40532032027840614,86.61
54,0.3579393514260954,87.594,0.5055464118719101,83.91
55,0.35602684022516623,87.672,0.4968124382197857,84.24
56,0.35851610421526187,87.66,0.47659082263708114,83.44
57,0.35652327134597056,87.664,0.4042232111096382,86.53
58,0.3564959184399673,87.682,0.5104881145060063,82.78
59,0.34887391952227575,87.922,0.4575929671525955,85.19
60,0.3490877490566701,87.868,0.4947886563837528,83.91
61,0.35054476756830605,87.89,0.5178036471828819,82.9
62,0.34814355841704775,87.788,0.46382843479514124,85.25
63,0.3458115732183262,88.25,0.3867246635258198,87.13
64,0.34702008384831096,88.172,0.5500146731734276,82.89
65,0.34665229840546236,87.998,0.4138344585895538,86.47
66,0.3449585909898184,87.852,0.4598857767879963,84.54
67,0.3397763611710801,88.18,0.4560114398598671,85.84
68,0.33700539369364174,88.556,0.5573116838932037,82.29
69,0.34441307787688413,88.118,0.3711875963956118,88.02
70,0.3333978689446741,88.462,0.5367470934987069,83.69
71,0.34247089238191136,88.206,0.45641380473971366,84.53
72,0.3366294754098873,88.378,0.39623686522245405,86.86
73,0.3418996362965934,88.282,0.3921454317867756,86.58
74,0.3322631266652321,88.66,0.5366013050079346,82.83
75,0.3339505895059936,88.376,0.6497065365314484,80.47
76,0.33895142574091347,88.212,0.3871774338185787,86.91
77,0.3370750058366328,88.35,0.41368730664253234,86.12
78,0.33400906310701856,88.29,0.5707365743815899,82.16
79,0.33405311762982487,88.394,0.44852125197649,85.63
80,0.3344488954361604,88.54,0.42366887368261813,86.0
81,0.21036808930185377,92.952,0.21922633089125157,92.66
82,0.16378110708022603,94.556,0.21287172734737397,93.06
